t,u,v,w,p,q,r,phi,theta,psi,north,east,down,aileron,elevator,rudder,throttle1,throttle2
0.000000000000000000e+00,8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
1.000000000000000000e+00,8.324198419745619049e+01,1.504316554558233099e+00,-6.332058158472483100e+00,-8.501253640625960895e-02,-1.663555573269833721e-01,-2.009406462761434420e-02,-2.818490967161399810e-02,-5.454212049086993100e-03,-1.747630337700615405e-02,8.387965019064638739e+01,-3.061736668038711473e-02,-7.712941658117632215e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
2.000000000000000000e+00,8.207619518091671296e+01,1.430406870778753614e+00,-1.068154886292275840e+01,-1.868942678927562051e-01,-1.043140946691626103e-01,2.373634148172418593e-02,-1.824280939343562447e-01,-1.491325053438612713e-01,-7.857375718956674353e-04,1.668883605200752527e+02,-3.733791535398796047e-01,-1.032594017412364451e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
3.000000000000000000e+00,8.258636239978163474e+01,-3.729896585424350985e-01,-8.592447106339262675e+00,-6.615571593715727228e-02,-3.569361504659321338e-02,-2.504799556259208748e-02,-3.231987306104083801e-01,-2.094196705498374833e-01,2.263148845918658281e-02,2.495017900269095605e+02,-1.227568476992714430e+00,-4.946661771908908989e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
4.000000000000000000e+00,8.378081337945182838e+01,9.104560883513652669e-01,-6.681066379768071606e+00,-6.002433240818355609e-02,-4.998481796991122161e-02,-5.732625787862292294e-02,-3.553210787446164365e-01,-2.617994841466178557e-01,-1.307018465161256804e-02,3.320211248600748490e+02,-3.010555143316966831e+00,7.329053468548823780e+00,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
5.000000000000000000e+00,8.530753635243301858e+01,1.160477075826454207e+00,-7.691082228625361061e+00,-1.554703153155052586e-01,-7.319404557901250385e-02,-2.249925518803799762e-02,-4.701967530466730216e-01,-3.359027455587028643e-01,-2.415530958793707383e-02,4.147590525929491605e+02,-6.441554724435546220e+00,2.536215330115824784e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
6.000000000000000000e+00,8.742245583863335412e+01,-5.120885956517845505e-02,-9.107750475548405333e+00,-8.133222550125701611e-02,-5.265229944257045908e-02,-4.632776349982633407e-02,-6.007590552857428046e-01,-4.079634359746569516e-01,-1.417218031263641626e-02,4.977688381309817487e+02,-1.181449778521414018e+01,4.962302117814159175e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
7.000000000000000000e+00,9.029081667626654450e+01,6.524129529925639659e-01,-8.827801441640451330e+00,-7.040716441993939700e-02,-2.465048969506169682e-02,-6.330272413156075306e-02,-6.493321804260424601e-01,-4.733170414173659690e-01,-4.469604071858609973e-02,5.810394073083938338e+02,-1.916275527043906735e+01,8.067279906953204716e+01,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
8.000000000000000000e+00,9.361979596486872879e+01,6.328415382745674611e-01,-8.651570989368654097e+00,-1.128132753921992915e-01,-2.225899996712329965e-02,-4.268768219242280448e-02,-7.344538014270847182e-01,-5.228982944764004603e-01,-7.421359611489604380e-02,6.646999642286183416e+02,-2.909130665189880460e+01,1.182269238984412283e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
9.000000000000000000e+00,9.723790770498666802e+01,1.659621492051822078e-01,-9.464410601350003560e+00,-6.686668791182295846e-02,-1.620353874237384639e-02,-5.820507433487439458e-02,-8.129054436378805315e-01,-5.720099353651154628e-01,-9.770417458066298078e-02,7.487932615660992042e+02,-4.230499714886343554e+01,1.620032100614282911e+02,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,0.000000000000000000e+00
